rel_thres,strategy,dataset,model,fold,sera_score,config
0.84,SMT,data\a1,RandomForestRegressor,11,1642.4172114772757,fixed_params
0.84,SMT,data\a1,RandomForestRegressor,12,3680.1142477410003,fixed_params
0.84,SMT,data\a1,RandomForestRegressor,13,36.94341734025365,fixed_params
0.84,SMT,data\a1,RandomForestRegressor,14,46.31879424112855,fixed_params
0.84,SMT,data\a1,RandomForestRegressor,15,38.86279532433703,fixed_params
0.84,SMT,data\a1,RandomForestRegressor,16,2195.5673108076717,fixed_params
0.84,SMT,data\a1,RandomForestRegressor,17,343.5077403730772,fixed_params
0.84,SMT,data\a1,RandomForestRegressor,18,3887.6244331528023,fixed_params
0.84,SMT,data\a1,RandomForestRegressor,19,3107.9084850714376,fixed_params
0.84,SMT,data\a1,SVR,0,50.05516126006394,fixed_params
0.84,SMT,data\a1,SVR,1,2353.9368417520977,fixed_params
0.84,SMT,data\a1,SVR,2,4867.896194282355,fixed_params
0.84,SMT,data\a1,SVR,3,2570.6013225337856,fixed_params
0.84,SMT,data\a1,SVR,4,35.89435890963537,fixed_params
0.84,SMT,data\a1,SVR,5,52.8714321278073,fixed_params
0.84,SMT,data\a1,SVR,6,1314.3616668290422,fixed_params
0.84,SMT,data\a1,SVR,7,29.20641271401556,fixed_params
0.84,SMT,data\a1,SVR,8,6408.5428492181245,fixed_params
0.84,SMT,data\a1,SVR,9,7681.976488319265,fixed_params
0.84,SMT,data\a1,SVR,10,5116.787378400877,fixed_params
0.84,SMT,data\a1,SVR,11,1947.5199062805384,fixed_params
0.84,SMT,data\a1,SVR,12,4457.511409415672,fixed_params
0.84,SMT,data\a1,SVR,13,37.94177074947149,fixed_params
0.84,SMT,data\a1,SVR,14,54.73464645014212,fixed_params
0.84,SMT,data\a1,SVR,15,42.73636370912414,fixed_params
0.84,SMT,data\a1,SVR,16,2935.5721513362055,fixed_params
0.84,SMT,data\a1,SVR,17,1196.2954719598274,fixed_params
0.84,SMT,data\a1,SVR,18,5502.507500707159,fixed_params
0.84,SMT,data\a1,SVR,19,4525.953067082897,fixed_params
0.84,SMT,data\a1,XGBRegressor,0,50.74763671096356,fixed_params
0.84,SMT,data\a1,XGBRegressor,1,1789.00107566949,fixed_params
0.84,SMT,data\a1,XGBRegressor,2,5959.741633380186,fixed_params
0.84,SMT,data\a1,XGBRegressor,3,441.5539515658435,fixed_params
