strategy,média,desvio,mediana,n
GN,1646681144.4093,15565327902.3194,606.6937,90000
RO,1808511572.9842,17795705523.6918,571.8123,90000
SMT,1828861549.2598,17865083286.9828,666.2532,90000
RU,2053869337.4427,19771754115.3491,676.755,90000
SG,2148827891.2441,20921953682.9723,679.9883,90000
WC,4494918598.5064,27052468739.7716,580.2107,90000
